'Time and date','F8-T8'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[15:08:02.000 06/11/2076]',52.747
'[15:08:02.004 06/11/2076]',75.018
'[15:08:02.008 06/11/2076]',91.819
'[15:08:02.012 06/11/2076]',71.111
'[15:08:02.016 06/11/2076]',83.614
'[15:08:02.020 06/11/2076]',84.396
'[15:08:02.023 06/11/2076]',82.051
'[15:08:02.027 06/11/2076]',87.912
'[15:08:02.031 06/11/2076]',93.382
'[15:08:02.035 06/11/2076]',116.044
'[15:08:02.039 06/11/2076]',134.799
'[15:08:02.043 06/11/2076]',156.288
'[15:08:02.047 06/11/2076]',187.937
'[15:08:02.051 06/11/2076]',134.799
'[15:08:02.055 06/11/2076]',101.587
'[15:08:02.059 06/11/2076]',116.825
'[15:08:02.063 06/11/2076]',124.249
'[15:08:02.066 06/11/2076]',131.673
'[15:08:02.070 06/11/2076]',155.897
'[15:08:02.074 06/11/2076]',169.573
'[15:08:02.078 06/11/2076]',168.010
'[15:08:02.082 06/11/2076]',190.672
'[15:08:02.086 06/11/2076]',198.095
'[15:08:02.090 06/11/2076]',176.996
'[15:08:02.094 06/11/2076]',189.890
'[15:08:02.098 06/11/2076]',203.565
'[15:08:02.102 06/11/2076]',214.896
'[15:08:02.105 06/11/2076]',223.492
'[15:08:02.109 06/11/2076]',233.260
'[15:08:02.113 06/11/2076]',227.790
'[15:08:02.117 06/11/2076]',208.254
'[15:08:02.121 06/11/2076]',217.631
'[15:08:02.125 06/11/2076]',237.949
'[15:08:02.129 06/11/2076]',246.545
'[15:08:02.133 06/11/2076]',252.015
'[15:08:02.137 06/11/2076]',266.081
'[15:08:02.141 06/11/2076]',281.319
'[15:08:02.145 06/11/2076]',298.120
'[15:08:02.148 06/11/2076]',315.702
'[15:08:02.152 06/11/2076]',318.828
'[15:08:02.156 06/11/2076]',321.563
'[15:08:02.160 06/11/2076]',335.238
'[15:08:02.164 06/11/2076]',357.900
'[15:08:02.168 06/11/2076]',368.449
'[15:08:02.172 06/11/2076]',369.231
'[15:08:02.176 06/11/2076]',378.608
'[15:08:02.180 06/11/2076]',381.734
'[15:08:02.184 06/11/2076]',375.482
'[15:08:02.188 06/11/2076]',373.138
'[15:08:02.191 06/11/2076]',381.734
'[15:08:02.195 06/11/2076]',383.687
'[15:08:02.199 06/11/2076]',382.906
'[15:08:02.203 06/11/2076]',389.158
'[15:08:02.207 06/11/2076]',391.111
'[15:08:02.211 06/11/2076]',394.237
'[15:08:02.215 06/11/2076]',406.349
'[15:08:02.219 06/11/2076]',411.819
'[15:08:02.223 06/11/2076]',414.554
'[15:08:02.227 06/11/2076]',434.481
'[15:08:02.230 06/11/2076]',446.984
'[15:08:02.234 06/11/2076]',451.282
'[15:08:02.238 06/11/2076]',455.580
'[15:08:02.242 06/11/2076]',472.772
'[15:08:02.246 06/11/2076]',480.195
'[15:08:02.250 06/11/2076]',484.884
'[15:08:02.254 06/11/2076]',487.228
'[15:08:02.258 06/11/2076]',495.043
'[15:08:02.262 06/11/2076]',494.261
'[15:08:02.266 06/11/2076]',489.182
'[15:08:02.270 06/11/2076]',485.275
'[15:08:02.273 06/11/2076]',479.805
'[15:08:02.277 06/11/2076]',485.275
'[15:08:02.281 06/11/2076]',492.698
'[15:08:02.285 06/11/2076]',489.573
'[15:08:02.289 06/11/2076]',486.056
'[15:08:02.293 06/11/2076]',482.930
'[15:08:02.297 06/11/2076]',487.228
'[15:08:02.301 06/11/2076]',468.083
'[15:08:02.305 06/11/2076]',424.713
'[15:08:02.309 06/11/2076]',413.773
'[15:08:02.313 06/11/2076]',402.442
'[15:08:02.316 06/11/2076]',361.416
'[15:08:02.320 06/11/2076]',363.370
'[15:08:02.324 06/11/2076]',364.151
'[15:08:02.328 06/11/2076]',305.934
'[15:08:02.332 06/11/2076]',297.338
'[15:08:02.336 06/11/2076]',279.756
'[15:08:02.340 06/11/2076]',251.233
'[15:08:02.344 06/11/2076]',244.200
'[15:08:02.348 06/11/2076]',243.028
'[15:08:02.352 06/11/2076]',228.181
'[15:08:02.355 06/11/2076]',203.175
'[15:08:02.359 06/11/2076]',214.896
'[15:08:02.363 06/11/2076]',224.274
'[15:08:02.367 06/11/2076]',225.836
'[15:08:02.371 06/11/2076]',199.658
'[15:08:02.375 06/11/2076]',204.347
'[15:08:02.379 06/11/2076]',187.937
'[15:08:02.383 06/11/2076]',107.839
'[15:08:02.387 06/11/2076]',111.746
'[15:08:02.391 06/11/2076]',173.089
'[15:08:02.395 06/11/2076]',100.806
'[15:08:02.398 06/11/2076]',135.189
'[15:08:02.402 06/11/2076]',168.010
'[15:08:02.406 06/11/2076]',126.203
'[15:08:02.410 06/11/2076]',103.932
'[15:08:02.414 06/11/2076]',129.719
'[15:08:02.418 06/11/2076]',59.780
'[15:08:02.422 06/11/2076]',11.722
'[15:08:02.426 06/11/2076]',17.192
'[15:08:02.430 06/11/2076]',36.728
'[15:08:02.434 06/11/2076]',36.337
'[15:08:02.438 06/11/2076]',53.138
'[15:08:02.441 06/11/2076]',54.310
'[15:08:02.445 06/11/2076]',43.370
'[15:08:02.449 06/11/2076]',18.364
'[15:08:02.453 06/11/2076]',-5.470
'[15:08:02.457 06/11/2076]',45.324
'[15:08:02.461 06/11/2076]',-14.457
'[15:08:02.465 06/11/2076]',3.516
'[15:08:02.469 06/11/2076]',34.383
'[15:08:02.473 06/11/2076]',28.523
'[15:08:02.477 06/11/2076]',32.821
'[15:08:02.480 06/11/2076]',27.350
'[15:08:02.484 06/11/2076]',-64.860
'[15:08:02.488 06/11/2076]',-119.170
'[15:08:02.492 06/11/2076]',-116.825
'[15:08:02.496 06/11/2076]',-3.907
'[15:08:02.500 06/11/2076]',-87.521
'[15:08:02.504 06/11/2076]',-5.470
'[15:08:02.508 06/11/2076]',17.582
'[15:08:02.512 06/11/2076]',-91.038
'[15:08:02.516 06/11/2076]',-73.455
'[15:08:02.520 06/11/2076]',-48.059
'[15:08:02.523 06/11/2076]',-124.640
'[15:08:02.527 06/11/2076]',-137.143
'[15:08:02.531 06/11/2076]',15.238
'[15:08:02.535 06/11/2076]',57.827
'[15:08:02.539 06/11/2076]',-1.563
'[15:08:02.543 06/11/2076]',-32.430
'[15:08:02.547 06/11/2076]',-90.647
'[15:08:02.551 06/11/2076]',-141.441
'[15:08:02.555 06/11/2076]',-351.258
'[15:08:02.559 06/11/2076]',-88.303
'[15:08:02.563 06/11/2076]',-115.653
'[15:08:02.566 06/11/2076]',-224.664
'[15:08:02.570 06/11/2076]',-117.607
'[15:08:02.574 06/11/2076]',-112.137
'[15:08:02.578 06/11/2076]',-143.785
'[15:08:02.582 06/11/2076]',-99.243
'[15:08:02.586 06/11/2076]',-24.615
'[15:08:02.590 06/11/2076]',-207.473
'[15:08:02.594 06/11/2076]',-228.571
'[15:08:02.598 06/11/2076]',-22.662
'[15:08:02.602 06/11/2076]',-166.056
'[15:08:02.605 06/11/2076]',-50.403
'[15:08:02.609 06/11/2076]',79.707
'[15:08:02.613 06/11/2076]',-71.502
'[15:08:02.617 06/11/2076]',-115.263
'[15:08:02.621 06/11/2076]',50.794
'[15:08:02.625 06/11/2076]',-23.443
'[15:08:02.629 06/11/2076]',-139.878
'[15:08:02.633 06/11/2076]',-155.507
'[15:08:02.637 06/11/2076]',-160.195
'[15:08:02.641 06/11/2076]',-223.883
'[15:08:02.645 06/11/2076]',-108.230
'[15:08:02.648 06/11/2076]',21.099
'[15:08:02.652 06/11/2076]',-103.150
'[15:08:02.656 06/11/2076]',26.960
'[15:08:02.660 06/11/2076]',-25.397
'[15:08:02.664 06/11/2076]',-328.987
'[15:08:02.668 06/11/2076]',-53.138
'[15:08:02.672 06/11/2076]',-44.151
'[15:08:02.676 06/11/2076]',-119.560
'[15:08:02.680 06/11/2076]',-126.984
'[15:08:02.684 06/11/2076]',-79.316
'[15:08:02.688 06/11/2076]',-278.584
'[15:08:02.691 06/11/2076]',-226.618
'[15:08:02.695 06/11/2076]',-51.184
'[15:08:02.699 06/11/2076]',-52.357
'[15:08:02.703 06/11/2076]',83.614
'[15:08:02.707 06/11/2076]',28.523
'[15:08:02.711 06/11/2076]',-85.958
'[15:08:02.715 06/11/2076]',-55.092
'[15:08:02.719 06/11/2076]',-352.821
'[15:08:02.723 06/11/2076]',-135.971
'[15:08:02.727 06/11/2076]',22.662
'[15:08:02.730 06/11/2076]',-131.673
'[15:08:02.734 06/11/2076]',-130.891
'[15:08:02.738 06/11/2076]',-110.574
'[15:08:02.742 06/11/2076]',-243.028
'[15:08:02.746 06/11/2076]',-145.348
'[15:08:02.750 06/11/2076]',24.615
'[15:08:02.754 06/11/2076]',-210.598
'[15:08:02.758 06/11/2076]',-262.564
'[15:08:02.762 06/11/2076]',-257.094
'[15:08:02.766 06/11/2076]',-219.194
'[15:08:02.770 06/11/2076]',-83.614
'[15:08:02.773 06/11/2076]',-19.536
'[15:08:02.777 06/11/2076]',-158.632
'[15:08:02.781 06/11/2076]',-152.381
'[15:08:02.785 06/11/2076]',-242.637
'[15:08:02.789 06/11/2076]',-257.875
'[15:08:02.793 06/11/2076]',-240.293
'[15:08:02.797 06/11/2076]',28.523
'[15:08:02.801 06/11/2076]',-77.753
'[15:08:02.805 06/11/2076]',-152.772
'[15:08:02.809 06/11/2076]',-191.453
'[15:08:02.813 06/11/2076]',-309.060
'[15:08:02.816 06/11/2076]',-262.955
'[15:08:02.820 06/11/2076]',-49.621
'[15:08:02.824 06/11/2076]',28.523
'[15:08:02.828 06/11/2076]',-159.023
'[15:08:02.832 06/11/2076]',-120.733
'[15:08:02.836 06/11/2076]',-303.980
'[15:08:02.840 06/11/2076]',-176.215
'[15:08:02.844 06/11/2076]',5.079
'[15:08:02.848 06/11/2076]',73.846
'[15:08:02.852 06/11/2076]',54.701
'[15:08:02.855 06/11/2076]',51.575
'[15:08:02.859 06/11/2076]',30.085
'[15:08:02.863 06/11/2076]',2.344
'[15:08:02.867 06/11/2076]',196.923
'[15:08:02.871 06/11/2076]',139.096
'[15:08:02.875 06/11/2076]',-14.066
'[15:08:02.879 06/11/2076]',71.502
'[15:08:02.883 06/11/2076]',69.158
'[15:08:02.887 06/11/2076]',15.238
'[15:08:02.891 06/11/2076]',13.284
'[15:08:02.895 06/11/2076]',292.650
'[15:08:02.898 06/11/2076]',23.053
'[15:08:02.902 06/11/2076]',172.698
'[15:08:02.906 06/11/2076]',210.989
'[15:08:02.910 06/11/2076]',-9.768
'[15:08:02.914 06/11/2076]',-71.111
'[15:08:02.918 06/11/2076]',-48.840
'[15:08:02.922 06/11/2076]',-139.096
'[15:08:02.926 06/11/2076]',-4.689
'[15:08:02.930 06/11/2076]',160.977
'[15:08:02.934 06/11/2076]',121.905
'[15:08:02.938 06/11/2076]',224.274
'[15:08:02.941 06/11/2076]',182.857
'[15:08:02.945 06/11/2076]',24.225
'[15:08:02.949 06/11/2076]',54.310
'[15:08:02.953 06/11/2076]',174.261
'[15:08:02.957 06/11/2076]',142.613
'[15:08:02.961 06/11/2076]',220.366
'[15:08:02.965 06/11/2076]',103.932
'[15:08:02.969 06/11/2076]',-112.918
'[15:08:02.973 06/11/2076]',-23.834
'[15:08:02.977 06/11/2076]',3.126
'[15:08:02.980 06/11/2076]',75.800
'[15:08:02.984 06/11/2076]',163.321
'[15:08:02.988 06/11/2076]',235.214
'[15:08:02.992 06/11/2076]',60.562
'[15:08:02.996 06/11/2076]',186.374
'[15:08:03.000 06/11/2076]',89.866
'[15:08:03.004 06/11/2076]',75.409
'[15:08:03.008 06/11/2076]',123.858
'[15:08:03.012 06/11/2076]',125.812
'[15:08:03.016 06/11/2076]',139.487
'[15:08:03.020 06/11/2076]',146.520
'[15:08:03.023 06/11/2076]',136.752
'[15:08:03.027 06/11/2076]',125.421
'[15:08:03.031 06/11/2076]',141.832
'[15:08:03.035 06/11/2076]',151.209
'[15:08:03.039 06/11/2076]',156.679
'[15:08:03.043 06/11/2076]',164.884
'[15:08:03.047 06/11/2076]',170.354
'[15:08:03.051 06/11/2076]',119.170
'[15:08:03.055 06/11/2076]',113.700
'[15:08:03.059 06/11/2076]',121.123
'[15:08:03.063 06/11/2076]',123.468
'[15:08:03.066 06/11/2076]',132.454
'[15:08:03.070 06/11/2076]',134.799
'[15:08:03.074 06/11/2076]',129.328
'[15:08:03.078 06/11/2076]',123.468
'[15:08:03.082 06/11/2076]',125.031
'[15:08:03.086 06/11/2076]',123.077
'[15:08:03.090 06/11/2076]',119.170
'[15:08:03.094 06/11/2076]',120.733
'[15:08:03.098 06/11/2076]',123.077
'[15:08:03.102 06/11/2076]',120.342
'[15:08:03.105 06/11/2076]',120.733
'[15:08:03.109 06/11/2076]',124.249
'[15:08:03.113 06/11/2076]',114.872
'[15:08:03.117 06/11/2076]',100.415
'[15:08:03.121 06/11/2076]',74.237
'[15:08:03.125 06/11/2076]',67.204
'[15:08:03.129 06/11/2076]',75.800
'[15:08:03.133 06/11/2076]',58.608
'[15:08:03.137 06/11/2076]',34.383
'[15:08:03.141 06/11/2076]',24.225
'[15:08:03.145 06/11/2076]',7.033
'[15:08:03.148 06/11/2076]',-38.291
'[15:08:03.152 06/11/2076]',-6.642
'[15:08:03.156 06/11/2076]',-12.894
'[15:08:03.160 06/11/2076]',-23.443
'[15:08:03.164 06/11/2076]',-1.563
'[15:08:03.168 06/11/2076]',-0.781
'[15:08:03.172 06/11/2076]',-23.443
'[15:08:03.176 06/11/2076]',-42.979
'[15:08:03.180 06/11/2076]',-26.960
'[15:08:03.184 06/11/2076]',-85.177
'[15:08:03.188 06/11/2076]',-96.508
'[15:08:03.191 06/11/2076]',-85.177
'[15:08:03.195 06/11/2076]',-69.939
'[15:08:03.199 06/11/2076]',-92.601
'[15:08:03.203 06/11/2076]',-87.131
'[15:08:03.207 06/11/2076]',-94.164
'[15:08:03.211 06/11/2076]',-110.965
'[15:08:03.215 06/11/2076]',-109.792
'[15:08:03.219 06/11/2076]',-122.295
'[15:08:03.223 06/11/2076]',-162.540
'[15:08:03.227 06/11/2076]',-141.050
'[15:08:03.230 06/11/2076]',-141.832
'[15:08:03.234 06/11/2076]',-155.507
'[15:08:03.238 06/11/2076]',-132.845
'[15:08:03.242 06/11/2076]',-125.031
'[15:08:03.246 06/11/2076]',-130.110
'[15:08:03.250 06/11/2076]',-128.156
'[15:08:03.254 06/11/2076]',-113.309
'[15:08:03.258 06/11/2076]',-93.773
'[15:08:03.262 06/11/2076]',-80.488
'[15:08:03.266 06/11/2076]',-57.827
'[15:08:03.270 06/11/2076]',-61.343
'[15:08:03.273 06/11/2076]',-56.654
'[15:08:03.277 06/11/2076]',-50.012
'[15:08:03.281 06/11/2076]',-30.867
'[15:08:03.285 06/11/2076]',-38.681
'[15:08:03.289 06/11/2076]',-26.178
'[15:08:03.293 06/11/2076]',-9.768
'[15:08:03.297 06/11/2076]',-27.350
'[15:08:03.301 06/11/2076]',23.834
'[15:08:03.305 06/11/2076]',11.331
'[15:08:03.309 06/11/2076]',10.159
'[15:08:03.313 06/11/2076]',19.536
'[15:08:03.316 06/11/2076]',-3.907
'[15:08:03.320 06/11/2076]',-19.536
'[15:08:03.324 06/11/2076]',-2.344
'[15:08:03.328 06/11/2076]',-8.596
'[15:08:03.332 06/11/2076]',-1.172
'[15:08:03.336 06/11/2076]',-10.159
'[15:08:03.340 06/11/2076]',-23.834
'[15:08:03.344 06/11/2076]',-25.006
'[15:08:03.348 06/11/2076]',-38.291
'[15:08:03.352 06/11/2076]',-26.960
'[15:08:03.355 06/11/2076]',-32.039
'[15:08:03.359 06/11/2076]',-33.993
'[15:08:03.363 06/11/2076]',-22.271
'[15:08:03.367 06/11/2076]',-45.324
'[15:08:03.371 06/11/2076]',-40.244
'[15:08:03.375 06/11/2076]',-46.496
'[15:08:03.379 06/11/2076]',-52.747
'[15:08:03.383 06/11/2076]',-59.780
'[15:08:03.387 06/11/2076]',-60.171
'[15:08:03.391 06/11/2076]',-64.078
'[15:08:03.395 06/11/2076]',-54.310
'[15:08:03.398 06/11/2076]',-46.886
'[15:08:03.402 06/11/2076]',-48.840
'[15:08:03.406 06/11/2076]',-45.714
'[15:08:03.410 06/11/2076]',-32.039
'[15:08:03.414 06/11/2076]',-20.708
'[15:08:03.418 06/11/2076]',-12.112
'[15:08:03.422 06/11/2076]',-11.722
'[15:08:03.426 06/11/2076]',-10.159
'[15:08:03.430 06/11/2076]',-4.689
'[15:08:03.434 06/11/2076]',-10.549
'[15:08:03.438 06/11/2076]',-10.159
'[15:08:03.441 06/11/2076]',0.391
'[15:08:03.445 06/11/2076]',10.549
'[15:08:03.449 06/11/2076]',21.880
'[15:08:03.453 06/11/2076]',24.615
'[15:08:03.457 06/11/2076]',28.132
'[15:08:03.461 06/11/2076]',39.853
'[15:08:03.465 06/11/2076]',26.569
'[15:08:03.469 06/11/2076]',24.615
'[15:08:03.473 06/11/2076]',28.913
'[15:08:03.477 06/11/2076]',46.496
'[15:08:03.480 06/11/2076]',64.078
'[15:08:03.484 06/11/2076]',46.886
'[15:08:03.488 06/11/2076]',34.774
'[15:08:03.492 06/11/2076]',28.913
'[15:08:03.496 06/11/2076]',12.112
'[15:08:03.500 06/11/2076]',41.416
'[15:08:03.504 06/11/2076]',37.509
'[15:08:03.508 06/11/2076]',40.244
'[15:08:03.512 06/11/2076]',25.397
'[15:08:03.516 06/11/2076]',3.516
'[15:08:03.520 06/11/2076]',-5.861
'[15:08:03.523 06/11/2076]',-8.596
'[15:08:03.527 06/11/2076]',5.079
'[15:08:03.531 06/11/2076]',8.205
'[15:08:03.535 06/11/2076]',-4.298
'[15:08:03.539 06/11/2076]',-4.689
'[15:08:03.543 06/11/2076]',-6.252
'[15:08:03.547 06/11/2076]',-18.755
'[15:08:03.551 06/11/2076]',7.814
'[15:08:03.555 06/11/2076]',0.391
'[15:08:03.559 06/11/2076]',-6.252
'[15:08:03.563 06/11/2076]',16.801
'[15:08:03.566 06/11/2076]',14.457
'[15:08:03.570 06/11/2076]',32.039
'[15:08:03.574 06/11/2076]',24.225
'[15:08:03.578 06/11/2076]',25.006
'[15:08:03.582 06/11/2076]',8.987
'[15:08:03.586 06/11/2076]',9.377
'[15:08:03.590 06/11/2076]',32.039
'[15:08:03.594 06/11/2076]',57.045
'[15:08:03.598 06/11/2076]',50.794
'[15:08:03.602 06/11/2076]',4.689
'[15:08:03.605 06/11/2076]',-4.298
'[15:08:03.609 06/11/2076]',1.563
'[15:08:03.613 06/11/2076]',17.192
'[15:08:03.617 06/11/2076]',38.291
'[15:08:03.621 06/11/2076]',26.960
'[15:08:03.625 06/11/2076]',79.707
'[15:08:03.629 06/11/2076]',86.740
'[15:08:03.633 06/11/2076]',83.614
'[15:08:03.637 06/11/2076]',73.846
'[15:08:03.641 06/11/2076]',58.608
'[15:08:03.645 06/11/2076]',80.488
'[15:08:03.648 06/11/2076]',55.092
'[15:08:03.652 06/11/2076]',8.987
'[15:08:03.656 06/11/2076]',38.681
'[15:08:03.660 06/11/2076]',3.516
'[15:08:03.664 06/11/2076]',30.085
'[15:08:03.668 06/11/2076]',6.642
'[15:08:03.672 06/11/2076]',26.178
'[15:08:03.676 06/11/2076]',-57.436
'[15:08:03.680 06/11/2076]',-107.839
'[15:08:03.684 06/11/2076]',54.310
'[15:08:03.688 06/11/2076]',-28.523
'[15:08:03.691 06/11/2076]',17.973
'[15:08:03.695 06/11/2076]',-9.768
'[15:08:03.699 06/11/2076]',-18.364
'[15:08:03.703 06/11/2076]',-113.309
'[15:08:03.707 06/11/2076]',-63.297
'[15:08:03.711 06/11/2076]',39.463
'[15:08:03.715 06/11/2076]',-66.813
'[15:08:03.719 06/11/2076]',100.415
'[15:08:03.723 06/11/2076]',187.155
'[15:08:03.727 06/11/2076]',-94.164
'[15:08:03.730 06/11/2076]',-39.072
'[15:08:03.734 06/11/2076]',110.574
'[15:08:03.738 06/11/2076]',-364.151
'[15:08:03.742 06/11/2076]',-36.728
'[15:08:03.746 06/11/2076]',72.283
'[15:08:03.750 06/11/2076]',-184.811
'[15:08:03.754 06/11/2076]',-39.853
'[15:08:03.758 06/11/2076]',99.634
'[15:08:03.762 06/11/2076]',42.198
'[15:08:03.766 06/11/2076]',-51.184
'[15:08:03.770 06/11/2076]',16.801
'[15:08:03.773 06/11/2076]',-80.879
'[15:08:03.777 06/11/2076]',-232.088
'[15:08:03.781 06/11/2076]',-100.415
'[15:08:03.785 06/11/2076]',114.872
'[15:08:03.789 06/11/2076]',-179.341
'[15:08:03.793 06/11/2076]',81.270
'[15:08:03.797 06/11/2076]',36.337
'[15:08:03.801 06/11/2076]',-209.035
'[15:08:03.805 06/11/2076]',132.063
'[15:08:03.809 06/11/2076]',-53.919
'[15:08:03.813 06/11/2076]',-3.907
'[15:08:03.816 06/11/2076]',-123.077
'[15:08:03.820 06/11/2076]',-298.901
'[15:08:03.824 06/11/2076]',-288.742
'[15:08:03.828 06/11/2076]',-254.750
'[15:08:03.832 06/11/2076]',-48.840
'[15:08:03.836 06/11/2076]',4.689
'[15:08:03.840 06/11/2076]',65.250
'[15:08:03.844 06/11/2076]',42.198
'[15:08:03.848 06/11/2076]',48.059
'[15:08:03.852 06/11/2076]',-21.880
'[15:08:03.855 06/11/2076]',-114.090
'[15:08:03.859 06/11/2076]',-200.440
'[15:08:03.863 06/11/2076]',-194.969
'[15:08:03.867 06/11/2076]',-66.813
'[15:08:03.871 06/11/2076]',-122.686
'[15:08:03.875 06/11/2076]',34.774
'[15:08:03.879 06/11/2076]',-58.608
'[15:08:03.883 06/11/2076]',-288.352
'[15:08:03.887 06/11/2076]',-302.027
'[15:08:03.891 06/11/2076]',-169.182
'[15:08:03.895 06/11/2076]',-72.674
'[15:08:03.898 06/11/2076]',0.391
'[15:08:03.902 06/11/2076]',71.893
'[15:08:03.906 06/11/2076]',-121.123
'[15:08:03.910 06/11/2076]',-196.532
'[15:08:03.914 06/11/2076]',-5.470
'[15:08:03.918 06/11/2076]',-16.801
'[15:08:03.922 06/11/2076]',19.927
'[15:08:03.926 06/11/2076]',-229.744
'[15:08:03.930 06/11/2076]',-316.874
'[15:08:03.934 06/11/2076]',-325.079
'[15:08:03.938 06/11/2076]',-184.811
'[15:08:03.941 06/11/2076]',209.817
'[15:08:03.945 06/11/2076]',0.391
'[15:08:03.949 06/11/2076]',31.648
'[15:08:03.953 06/11/2076]',-107.839
'[15:08:03.957 06/11/2076]',-338.364
'[15:08:03.961 06/11/2076]',-69.939
'[15:08:03.965 06/11/2076]',-149.255
'[15:08:03.969 06/11/2076]',-156.679
'[15:08:03.973 06/11/2076]',-99.634
'[15:08:03.977 06/11/2076]',-54.701
'[15:08:03.980 06/11/2076]',-39.463
'[15:08:03.984 06/11/2076]',-150.037
