'Time and date','F8-T8'
'[15:08:03.988 06/11/2076]',-213.724
'[15:08:03.992 06/11/2076]',-241.074
'[15:08:03.996 06/11/2076]',-19.145
'[15:08:04.000 06/11/2076]',8.205
'[15:08:04.004 06/11/2076]',85.177
'[15:08:04.008 06/11/2076]',-125.421
'[15:08:04.012 06/11/2076]',-151.209
'[15:08:04.016 06/11/2076]',-155.507
'[15:08:04.020 06/11/2076]',-101.978
'[15:08:04.023 06/11/2076]',-10.159
'[15:08:04.027 06/11/2076]',-101.587
'[15:08:04.031 06/11/2076]',-103.932
'[15:08:04.035 06/11/2076]',-129.328
'[15:08:04.039 06/11/2076]',-38.291
'[15:08:04.043 06/11/2076]',-61.734
'[15:08:04.047 06/11/2076]',-78.144
'[15:08:04.051 06/11/2076]',-184.420
'[15:08:04.055 06/11/2076]',-127.766
'[15:08:04.059 06/11/2076]',-15.238
'[15:08:04.063 06/11/2076]',35.556
'[15:08:04.066 06/11/2076]',-100.024
'[15:08:04.070 06/11/2076]',-40.244
'[15:08:04.074 06/11/2076]',-156.679
'[15:08:04.078 06/11/2076]',-251.624
'[15:08:04.082 06/11/2076]',71.893
'[15:08:04.086 06/11/2076]',128.938
'[15:08:04.090 06/11/2076]',-123.468
'[15:08:04.094 06/11/2076]',-19.145
'[15:08:04.098 06/11/2076]',-142.613
'[15:08:04.102 06/11/2076]',-150.818
'[15:08:04.105 06/11/2076]',-76.190
'[15:08:04.109 06/11/2076]',80.879
'[15:08:04.113 06/11/2076]',-7.424
'[15:08:04.117 06/11/2076]',-101.587
'[15:08:04.121 06/11/2076]',-62.125
'[15:08:04.125 06/11/2076]',33.993
'[15:08:04.129 06/11/2076]',-16.801
'[15:08:04.133 06/11/2076]',6.252
'[15:08:04.137 06/11/2076]',104.322
'[15:08:04.141 06/11/2076]',-74.237
'[15:08:04.145 06/11/2076]',3.126
'[15:08:04.148 06/11/2076]',162.540
'[15:08:04.152 06/11/2076]',12.894
'[15:08:04.156 06/11/2076]',-103.932
'[15:08:04.160 06/11/2076]',-80.879
'[15:08:04.164 06/11/2076]',-71.111
'[15:08:04.168 06/11/2076]',-137.924
'[15:08:04.172 06/11/2076]',-127.375
'[15:08:04.176 06/11/2076]',78.926
'[15:08:04.180 06/11/2076]',88.303
'[15:08:04.184 06/11/2076]',42.979
'[15:08:04.188 06/11/2076]',60.952
'[15:08:04.191 06/11/2076]',35.556
'[15:08:04.195 06/11/2076]',-101.978
'[15:08:04.199 06/11/2076]',64.860
'[15:08:04.203 06/11/2076]',30.867
'[15:08:04.207 06/11/2076]',184.029
'[15:08:04.211 06/11/2076]',-19.927
'[15:08:04.215 06/11/2076]',-110.183
'[15:08:04.219 06/11/2076]',-16.801
'[15:08:04.223 06/11/2076]',-31.648
'[15:08:04.227 06/11/2076]',-35.165
'[15:08:04.230 06/11/2076]',9.377
'[15:08:04.234 06/11/2076]',88.303
'[15:08:04.238 06/11/2076]',10.940
'[15:08:04.242 06/11/2076]',67.595
'[15:08:04.246 06/11/2076]',50.012
'[15:08:04.250 06/11/2076]',-89.475
'[15:08:04.254 06/11/2076]',-110.183
'[15:08:04.258 06/11/2076]',13.284
'[15:08:04.262 06/11/2076]',122.686
'[15:08:04.266 06/11/2076]',105.885
'[15:08:04.270 06/11/2076]',23.053
'[15:08:04.273 06/11/2076]',-62.125
'[15:08:04.277 06/11/2076]',-237.167
'[15:08:04.281 06/11/2076]',-33.602
'[15:08:04.285 06/11/2076]',89.475
'[15:08:04.289 06/11/2076]',64.860
'[15:08:04.293 06/11/2076]',104.322
'[15:08:04.297 06/11/2076]',-123.858
'[15:08:04.301 06/11/2076]',-163.321
'[15:08:04.305 06/11/2076]',-206.300
'[15:08:04.309 06/11/2076]',-116.435
'[15:08:04.313 06/11/2076]',-111.746
'[15:08:04.316 06/11/2076]',-84.786
'[15:08:04.320 06/11/2076]',-117.216
'[15:08:04.324 06/11/2076]',-152.381
'[15:08:04.328 06/11/2076]',-105.104
'[15:08:04.332 06/11/2076]',-143.394
'[15:08:04.336 06/11/2076]',-101.197
'[15:08:04.340 06/11/2076]',-123.858
'[15:08:04.344 06/11/2076]',-150.037
'[15:08:04.348 06/11/2076]',-66.813
'[15:08:04.352 06/11/2076]',-98.852
'[15:08:04.355 06/11/2076]',-130.891
'[15:08:04.359 06/11/2076]',-39.853
'[15:08:04.363 06/11/2076]',-72.674
'[15:08:04.367 06/11/2076]',-266.081
'[15:08:04.371 06/11/2076]',-64.078
'[15:08:04.375 06/11/2076]',-145.348
'[15:08:04.379 06/11/2076]',-138.706
'[15:08:04.383 06/11/2076]',-13.284
'[15:08:04.387 06/11/2076]',-95.726
'[15:08:04.391 06/11/2076]',-164.103
'[15:08:04.395 06/11/2076]',-198.486
'[15:08:04.398 06/11/2076]',-147.302
'[15:08:04.402 06/11/2076]',-98.071
'[15:08:04.406 06/11/2076]',28.523
'[15:08:04.410 06/11/2076]',-7.814
'[15:08:04.414 06/11/2076]',-41.807
'[15:08:04.418 06/11/2076]',-62.906
'[15:08:04.422 06/11/2076]',-181.685
'[15:08:04.426 06/11/2076]',-105.495
'[15:08:04.430 06/11/2076]',-62.515
'[15:08:04.434 06/11/2076]',-78.144
'[15:08:04.438 06/11/2076]',-47.668
'[15:08:04.441 06/11/2076]',-33.211
'[15:08:04.445 06/11/2076]',-58.608
'[15:08:04.449 06/11/2076]',-57.827
'[15:08:04.453 06/11/2076]',-62.906
'[15:08:04.457 06/11/2076]',-65.641
'[15:08:04.461 06/11/2076]',-27.741
'[15:08:04.465 06/11/2076]',14.066
'[15:08:04.469 06/11/2076]',0.391
'[15:08:04.473 06/11/2076]',0.391
'[15:08:04.477 06/11/2076]',5.470
'[15:08:04.480 06/11/2076]',-15.238
'[15:08:04.484 06/11/2076]',55.873
'[15:08:04.488 06/11/2076]',69.939
'[15:08:04.492 06/11/2076]',87.521
'[15:08:04.496 06/11/2076]',128.547
'[15:08:04.500 06/11/2076]',42.589
'[15:08:04.504 06/11/2076]',47.668
'[15:08:04.508 06/11/2076]',69.548
'[15:08:04.512 06/11/2076]',93.773
'[15:08:04.516 06/11/2076]',127.766
'[15:08:04.520 06/11/2076]',123.077
'[15:08:04.523 06/11/2076]',122.686
'[15:08:04.527 06/11/2076]',132.845
'[15:08:04.531 06/11/2076]',154.335
'[15:08:04.535 06/11/2076]',158.632
'[15:08:04.539 06/11/2076]',215.287
'[15:08:04.543 06/11/2076]',149.255
'[15:08:04.547 06/11/2076]',149.255
'[15:08:04.551 06/11/2076]',143.785
'[15:08:04.555 06/11/2076]',127.766
'[15:08:04.559 06/11/2076]',124.249
'[15:08:04.563 06/11/2076]',152.772
'[15:08:04.566 06/11/2076]',128.938
'[15:08:04.570 06/11/2076]',109.011
'[15:08:04.574 06/11/2076]',159.023
'[15:08:04.578 06/11/2076]',117.216
'[15:08:04.582 06/11/2076]',103.932
'[15:08:04.586 06/11/2076]',135.580
'[15:08:04.590 06/11/2076]',84.786
'[15:08:04.594 06/11/2076]',73.846
'[15:08:04.598 06/11/2076]',103.541
'[15:08:04.602 06/11/2076]',89.866
'[15:08:04.605 06/11/2076]',80.879
'[15:08:04.609 06/11/2076]',116.044
'[15:08:04.613 06/11/2076]',94.164
'[15:08:04.617 06/11/2076]',74.628
'[15:08:04.621 06/11/2076]',75.018
'[15:08:04.625 06/11/2076]',71.502
'[15:08:04.629 06/11/2076]',71.502
'[15:08:04.633 06/11/2076]',68.767
'[15:08:04.637 06/11/2076]',60.171
'[15:08:04.641 06/11/2076]',50.794
'[15:08:04.645 06/11/2076]',48.449
'[15:08:04.648 06/11/2076]',42.198
'[15:08:04.652 06/11/2076]',29.304
'[15:08:04.656 06/11/2076]',14.066
'[15:08:04.660 06/11/2076]',12.112
'[15:08:04.664 06/11/2076]',9.768
'[15:08:04.668 06/11/2076]',10.159
'[15:08:04.672 06/11/2076]',2.344
'[15:08:04.676 06/11/2076]',3.126
'[15:08:04.680 06/11/2076]',-1.563
'[15:08:04.684 06/11/2076]',-18.364
'[15:08:04.688 06/11/2076]',-25.006
'[15:08:04.691 06/11/2076]',-22.271
'[15:08:04.695 06/11/2076]',-23.053
'[15:08:04.699 06/11/2076]',-29.304
'[15:08:04.703 06/11/2076]',-34.383
'[15:08:04.707 06/11/2076]',-48.449
'[15:08:04.711 06/11/2076]',-59.389
'[15:08:04.715 06/11/2076]',-61.343
'[15:08:04.719 06/11/2076]',-66.032
'[15:08:04.723 06/11/2076]',-69.158
'[15:08:04.727 06/11/2076]',-52.747
'[15:08:04.730 06/11/2076]',-48.840
'[15:08:04.734 06/11/2076]',-63.297
'[15:08:04.738 06/11/2076]',-78.926
'[15:08:04.742 06/11/2076]',-77.363
'[15:08:04.746 06/11/2076]',-82.051
'[15:08:04.750 06/11/2076]',-91.429
'[15:08:04.754 06/11/2076]',-91.819
'[15:08:04.758 06/11/2076]',-93.382
'[15:08:04.762 06/11/2076]',-89.475
'[15:08:04.766 06/11/2076]',-79.316
'[15:08:04.770 06/11/2076]',-72.283
'[15:08:04.773 06/11/2076]',-68.767
'[15:08:04.777 06/11/2076]',-60.952
'[15:08:04.781 06/11/2076]',-45.714
'[15:08:04.785 06/11/2076]',-39.463
'[15:08:04.789 06/11/2076]',-25.006
'[15:08:04.793 06/11/2076]',-14.066
'[15:08:04.797 06/11/2076]',-12.894
'[15:08:04.801 06/11/2076]',-35.165
'[15:08:04.805 06/11/2076]',-43.761
'[15:08:04.809 06/11/2076]',-36.337
'[15:08:04.813 06/11/2076]',-29.304
'[15:08:04.816 06/11/2076]',-20.708
'[15:08:04.820 06/11/2076]',-16.020
'[15:08:04.824 06/11/2076]',-17.582
'[15:08:04.828 06/11/2076]',-16.410
'[15:08:04.832 06/11/2076]',-11.722
'[15:08:04.836 06/11/2076]',-13.284
'[15:08:04.840 06/11/2076]',-17.582
'[15:08:04.844 06/11/2076]',-15.238
'[15:08:04.848 06/11/2076]',-10.159
'[15:08:04.852 06/11/2076]',-14.847
'[15:08:04.855 06/11/2076]',-10.549
'[15:08:04.859 06/11/2076]',0.391
'[15:08:04.863 06/11/2076]',-3.907
'[15:08:04.867 06/11/2076]',-16.020
'[15:08:04.871 06/11/2076]',-21.099
'[15:08:04.875 06/11/2076]',-17.192
'[15:08:04.879 06/11/2076]',-11.331
'[15:08:04.883 06/11/2076]',-7.033
'[15:08:04.887 06/11/2076]',-1.172
'[15:08:04.891 06/11/2076]',3.907
'[15:08:04.895 06/11/2076]',9.377
'[15:08:04.898 06/11/2076]',13.675
'[15:08:04.902 06/11/2076]',8.987
'[15:08:04.906 06/11/2076]',3.907
'[15:08:04.910 06/11/2076]',11.331
'[15:08:04.914 06/11/2076]',24.225
'[15:08:04.918 06/11/2076]',29.695
'[15:08:04.922 06/11/2076]',35.556
'[15:08:04.926 06/11/2076]',46.496
'[15:08:04.930 06/11/2076]',53.919
'[15:08:04.934 06/11/2076]',50.403
'[15:08:04.938 06/11/2076]',54.701
'[15:08:04.941 06/11/2076]',65.250
'[15:08:04.945 06/11/2076]',69.158
'[15:08:04.949 06/11/2076]',73.065
'[15:08:04.953 06/11/2076]',75.800
'[15:08:04.957 06/11/2076]',75.409
'[15:08:04.961 06/11/2076]',77.363
'[15:08:04.965 06/11/2076]',86.349
'[15:08:04.969 06/11/2076]',89.475
'[15:08:04.973 06/11/2076]',91.819
'[15:08:04.977 06/11/2076]',109.792
'[15:08:04.980 06/11/2076]',113.700
'[15:08:04.984 06/11/2076]',96.508
'[15:08:04.988 06/11/2076]',84.396
'[15:08:04.992 06/11/2076]',85.958
'[15:08:04.996 06/11/2076]',80.488
'[15:08:05.000 06/11/2076]',69.158
'[15:08:05.004 06/11/2076]',67.204
'[15:08:05.008 06/11/2076]',60.952
'[15:08:05.012 06/11/2076]',62.906
'[15:08:05.016 06/11/2076]',94.164
'[15:08:05.020 06/11/2076]',50.794
'[15:08:05.023 06/11/2076]',46.496
'[15:08:05.027 06/11/2076]',-6.642
'[15:08:05.031 06/11/2076]',-33.602
'[15:08:05.035 06/11/2076]',-29.695
'[15:08:05.039 06/11/2076]',-39.463
'[15:08:05.043 06/11/2076]',-24.225
'[15:08:05.047 06/11/2076]',-26.178
'[15:08:05.051 06/11/2076]',-69.939
'[15:08:05.055 06/11/2076]',-92.991
'[15:08:05.059 06/11/2076]',-78.926
'[15:08:05.063 06/11/2076]',-64.860
'[15:08:05.066 06/11/2076]',-69.548
'[15:08:05.070 06/11/2076]',-55.482
'[15:08:05.074 06/11/2076]',-80.488
'[15:08:05.078 06/11/2076]',-129.328
'[15:08:05.082 06/11/2076]',-120.733
'[15:08:05.086 06/11/2076]',-119.951
'[15:08:05.090 06/11/2076]',-110.183
'[15:08:05.094 06/11/2076]',-75.018
'[15:08:05.098 06/11/2076]',-45.324
'[15:08:05.102 06/11/2076]',-83.614
'[15:08:05.105 06/11/2076]',-60.562
'[15:08:05.109 06/11/2076]',-72.674
'[15:08:05.113 06/11/2076]',-64.469
'[15:08:05.117 06/11/2076]',-60.171
'[15:08:05.121 06/11/2076]',-48.840
'[15:08:05.125 06/11/2076]',-28.913
'[15:08:05.129 06/11/2076]',-32.821
'[15:08:05.133 06/11/2076]',-6.252
'[15:08:05.137 06/11/2076]',-18.755
'[15:08:05.141 06/11/2076]',-29.695
'[15:08:05.145 06/11/2076]',9.768
'[15:08:05.148 06/11/2076]',5.861
'[15:08:05.152 06/11/2076]',2.344
'[15:08:05.156 06/11/2076]',-3.907
'[15:08:05.160 06/11/2076]',5.861
'[15:08:05.164 06/11/2076]',24.615
'[15:08:05.168 06/11/2076]',34.774
'[15:08:05.172 06/11/2076]',76.581
'[15:08:05.176 06/11/2076]',44.933
'[15:08:05.180 06/11/2076]',22.271
'[15:08:05.184 06/11/2076]',21.880
'[15:08:05.188 06/11/2076]',-45.714
'[15:08:05.191 06/11/2076]',32.821
'[15:08:05.195 06/11/2076]',38.291
'[15:08:05.199 06/11/2076]',21.490
'[15:08:05.203 06/11/2076]',68.767
'[15:08:05.207 06/11/2076]',-92.601
'[15:08:05.211 06/11/2076]',-147.302
'[15:08:05.215 06/11/2076]',-34.774
'[15:08:05.219 06/11/2076]',24.225
'[15:08:05.223 06/11/2076]',94.945
'[15:08:05.227 06/11/2076]',274.286
'[15:08:05.230 06/11/2076]',44.542
'[15:08:05.234 06/11/2076]',-126.593
'[15:08:05.238 06/11/2076]',-69.939
'[15:08:05.242 06/11/2076]',-121.905
'[15:08:05.246 06/11/2076]',42.198
'[15:08:05.250 06/11/2076]',2.344
'[15:08:05.254 06/11/2076]',98.852
'[15:08:05.258 06/11/2076]',41.416
'[15:08:05.262 06/11/2076]',52.747
'[15:08:05.266 06/11/2076]',205.910
'[15:08:05.270 06/11/2076]',-70.330
'[15:08:05.273 06/11/2076]',-81.661
'[15:08:05.277 06/11/2076]',-101.197
'[15:08:05.281 06/11/2076]',-55.482
'[15:08:05.285 06/11/2076]',26.178
'[15:08:05.289 06/11/2076]',142.222
'[15:08:05.293 06/11/2076]',71.502
'[15:08:05.297 06/11/2076]',87.912
'[15:08:05.301 06/11/2076]',-9.377
'[15:08:05.305 06/11/2076]',121.514
'[15:08:05.309 06/11/2076]',193.016
'[15:08:05.313 06/11/2076]',334.066
'[15:08:05.316 06/11/2076]',561.465
'[15:08:05.320 06/11/2076]',128.156
'[15:08:05.324 06/11/2076]',179.731
'[15:08:05.328 06/11/2076]',46.496
'[15:08:05.332 06/11/2076]',-118.388
'[15:08:05.336 06/11/2076]',-66.813
'[15:08:05.340 06/11/2076]',144.957
'[15:08:05.344 06/11/2076]',91.038
'[15:08:05.348 06/11/2076]',-11.331
'[15:08:05.352 06/11/2076]',223.883
'[15:08:05.355 06/11/2076]',97.289
'[15:08:05.359 06/11/2076]',101.587
'[15:08:05.363 06/11/2076]',79.707
'[15:08:05.367 06/11/2076]',46.496
'[15:08:05.371 06/11/2076]',43.761
'[15:08:05.375 06/11/2076]',-98.852
'[15:08:05.379 06/11/2076]',10.940
'[15:08:05.383 06/11/2076]',-21.099
'[15:08:05.387 06/11/2076]',1.563
'[15:08:05.391 06/11/2076]',56.264
'[15:08:05.395 06/11/2076]',206.691
'[15:08:05.398 06/11/2076]',53.529
'[15:08:05.402 06/11/2076]',67.985
'[15:08:05.406 06/11/2076]',-148.474
'[15:08:05.410 06/11/2076]',-98.071
'[15:08:05.414 06/11/2076]',43.370
'[15:08:05.418 06/11/2076]',79.316
'[15:08:05.422 06/11/2076]',54.310
'[15:08:05.426 06/11/2076]',49.621
'[15:08:05.430 06/11/2076]',-58.608
'[15:08:05.434 06/11/2076]',-235.214
'[15:08:05.438 06/11/2076]',-118.388
'[15:08:05.441 06/11/2076]',-130.110
'[15:08:05.445 06/11/2076]',-124.640
'[15:08:05.449 06/11/2076]',-43.761
'[15:08:05.453 06/11/2076]',-50.403
'[15:08:05.457 06/11/2076]',-95.726
'[15:08:05.461 06/11/2076]',-80.098
'[15:08:05.465 06/11/2076]',-144.957
'[15:08:05.469 06/11/2076]',-23.053
'[15:08:05.473 06/11/2076]',-89.866
'[15:08:05.477 06/11/2076]',-163.321
'[15:08:05.480 06/11/2076]',-150.818
'[15:08:05.484 06/11/2076]',-91.038
'[15:08:05.488 06/11/2076]',-218.022
'[15:08:05.492 06/11/2076]',-97.680
'[15:08:05.496 06/11/2076]',-50.794
'[15:08:05.500 06/11/2076]',-171.917
'[15:08:05.504 06/11/2076]',-153.553
'[15:08:05.508 06/11/2076]',-50.403
'[15:08:05.512 06/11/2076]',-71.893
'[15:08:05.516 06/11/2076]',-52.747
'[15:08:05.520 06/11/2076]',-21.099
'[15:08:05.523 06/11/2076]',-73.065
'[15:08:05.527 06/11/2076]',-37.509
'[15:08:05.531 06/11/2076]',-2.344
'[15:08:05.535 06/11/2076]',10.159
'[15:08:05.539 06/11/2076]',22.662
'[15:08:05.543 06/11/2076]',27.741
'[15:08:05.547 06/11/2076]',23.053
'[15:08:05.551 06/11/2076]',16.020
'[15:08:05.555 06/11/2076]',14.457
'[15:08:05.559 06/11/2076]',23.053
'[15:08:05.563 06/11/2076]',23.443
'[15:08:05.566 06/11/2076]',21.880
'[15:08:05.570 06/11/2076]',23.443
'[15:08:05.574 06/11/2076]',22.271
'[15:08:05.578 06/11/2076]',27.741
'[15:08:05.582 06/11/2076]',36.337
'[15:08:05.586 06/11/2076]',29.304
'[15:08:05.590 06/11/2076]',23.443
'[15:08:05.594 06/11/2076]',42.979
'[15:08:05.598 06/11/2076]',50.794
'[15:08:05.602 06/11/2076]',49.231
'[15:08:05.605 06/11/2076]',83.614
'[15:08:05.609 06/11/2076]',37.118
'[15:08:05.613 06/11/2076]',26.960
'[15:08:05.617 06/11/2076]',17.973
'[15:08:05.621 06/11/2076]',8.987
'[15:08:05.625 06/11/2076]',16.020
'[15:08:05.629 06/11/2076]',16.801
'[15:08:05.633 06/11/2076]',7.814
'[15:08:05.637 06/11/2076]',7.424
'[15:08:05.641 06/11/2076]',28.132
'[15:08:05.645 06/11/2076]',21.880
'[15:08:05.648 06/11/2076]',64.469
'[15:08:05.652 06/11/2076]',-8.987
'[15:08:05.656 06/11/2076]',-15.238
'[15:08:05.660 06/11/2076]',-10.159
'[15:08:05.664 06/11/2076]',-15.238
'[15:08:05.668 06/11/2076]',-11.331
'[15:08:05.672 06/11/2076]',-15.629
'[15:08:05.676 06/11/2076]',-23.443
'[15:08:05.680 06/11/2076]',-42.979
'[15:08:05.684 06/11/2076]',-64.078
'[15:08:05.688 06/11/2076]',-75.018
'[15:08:05.691 06/11/2076]',-93.382
'[15:08:05.695 06/11/2076]',-100.415
'[15:08:05.699 06/11/2076]',-103.541
'[15:08:05.703 06/11/2076]',-105.885
'[15:08:05.707 06/11/2076]',-112.527
'[15:08:05.711 06/11/2076]',-116.825
'[15:08:05.715 06/11/2076]',-124.640
'[15:08:05.719 06/11/2076]',-141.441
'[15:08:05.723 06/11/2076]',-148.864
'[15:08:05.727 06/11/2076]',-130.110
'[15:08:05.730 06/11/2076]',-128.156
'[15:08:05.734 06/11/2076]',-152.381
'[15:08:05.738 06/11/2076]',-169.573
'[15:08:05.742 06/11/2076]',-190.672
'[15:08:05.746 06/11/2076]',-206.691
'[15:08:05.750 06/11/2076]',-194.969
'[15:08:05.754 06/11/2076]',-191.844
'[15:08:05.758 06/11/2076]',-193.016
'[15:08:05.762 06/11/2076]',-197.705
'[15:08:05.766 06/11/2076]',-206.300
'[15:08:05.770 06/11/2076]',-210.989
'[15:08:05.773 06/11/2076]',-210.989
'[15:08:05.777 06/11/2076]',-200.049
'[15:08:05.781 06/11/2076]',-185.592
'[15:08:05.785 06/11/2076]',-201.612
'[15:08:05.789 06/11/2076]',-192.234
'[15:08:05.793 06/11/2076]',-200.049
'[15:08:05.797 06/11/2076]',-202.393
'[15:08:05.801 06/11/2076]',-214.115
'[15:08:05.805 06/11/2076]',-203.565
'[15:08:05.809 06/11/2076]',-191.062
'[15:08:05.813 06/11/2076]',-181.685
'[15:08:05.816 06/11/2076]',-153.944
'[15:08:05.820 06/11/2076]',-190.672
'[15:08:05.824 06/11/2076]',-181.685
'[15:08:05.828 06/11/2076]',-168.791
'[15:08:05.832 06/11/2076]',-165.665
'[15:08:05.836 06/11/2076]',-152.381
'[15:08:05.840 06/11/2076]',-144.957
'[15:08:05.844 06/11/2076]',-132.454
'[15:08:05.848 06/11/2076]',-125.421
'[15:08:05.852 06/11/2076]',-116.825
'[15:08:05.855 06/11/2076]',-87.131
'[15:08:05.859 06/11/2076]',-62.125
'[15:08:05.863 06/11/2076]',-56.654
'[15:08:05.867 06/11/2076]',-27.350
'[15:08:05.871 06/11/2076]',-71.502
'[15:08:05.875 06/11/2076]',-73.846
'[15:08:05.879 06/11/2076]',-57.827
'[15:08:05.883 06/11/2076]',-59.780
'[15:08:05.887 06/11/2076]',-48.840
'[15:08:05.891 06/11/2076]',-23.443
'[15:08:05.895 06/11/2076]',-4.298
'[15:08:05.898 06/11/2076]',-25.006
'[15:08:05.902 06/11/2076]',10.549
'[15:08:05.906 06/11/2076]',-27.350
'[15:08:05.910 06/11/2076]',-30.476
'[15:08:05.914 06/11/2076]',-7.814
'[15:08:05.918 06/11/2076]',-14.457
'[15:08:05.922 06/11/2076]',-8.596
'[15:08:05.926 06/11/2076]',-10.159
'[15:08:05.930 06/11/2076]',-4.689
'[15:08:05.934 06/11/2076]',-0.781
'[15:08:05.938 06/11/2076]',-15.629
'[15:08:05.941 06/11/2076]',16.410
'[15:08:05.945 06/11/2076]',-9.377
'[15:08:05.949 06/11/2076]',-2.344
'[15:08:05.953 06/11/2076]',-14.847
'[15:08:05.957 06/11/2076]',7.424
'[15:08:05.961 06/11/2076]',18.364
'[15:08:05.965 06/11/2076]',28.913
'[15:08:05.969 06/11/2076]',36.337
'[15:08:05.973 06/11/2076]',23.834
'[15:08:05.977 06/11/2076]',37.118
'[15:08:05.980 06/11/2076]',48.449
